writing,phonetic,count
กรณีพิพาท,kɔː˧.ra˦˥.niː˧.pʰi˦˥.pʰaːt̚˥˩,2
กรณีพิพาท,ka˨˩.ra˦˥.niː˧.pʰi˦˥.pʰaːt̚˥˩,2
กรด,krot̚˨˩,1
กรดนิวคลีอิก,krot̚˨˩.niw˧.kʰliː˧.ʔik̚˨˩,1
กรดไขมัน,krot̚˨˩.kʰaj˩˩˦.man˧,1
กรดไขมันอิ่มตัว,krot̚˨˩.kʰaj˩˩˦.man˧.ʔim˨˩.tua̯˧,1
กรดไขมันไม่อิ่มตัว,krot̚˨˩.kʰaj˩˩˦.man˧.maj˥˩.ʔim˨˩.tua̯˧,1
กรน,kron˧,1
กรพินธุ์,kɔː˧.ra˦˥.pʰin˧,1
กรม,krom˧,3
กรม,krom˧.,3
กรม,krom˧.ma˦˥.,3
กรมการ,krom˧.ma˦˥.kaːn˧,1
กรมท่า,krom˧.ma˦˥.tʰaː˥˩,1
กรมธรรม,krom˧.ma˦˥.tʰam˧,1
กรมธรรม์,krom˧.ma˦˥.tʰan˧,1
กรรตุการก,kat̚˨˩.tu˨˩.kaː˧.rok̚˦˥,2
กรรตุการก,kan˧.tu˨˩.kaː˧.rok̚˦˥,2
กรรปุระ,kan˧.pu˨˩.raʔ˦˥,1
กรรม,kam˧,2
กรรม,kam˧.ma˦˥.,2
กรรมกร,kam˧.ma˦˥.kɔːn˧,1
กรรมการ,kam˧.ma˦˥.kaːn˧,1
กรรมการก,kam˧.ma˦˥.kaː˧.rok̚˦˥,1
กรรมตามสนอง,kam˧.taːm˧.sa˨˩.nɔːŋ˩˩˦,1
กรรมวาจก,kam˧.ma˦˥.waː˧.t͡ɕok̚˨˩,1
กรรมวิธี,kam˧.ma˦˥.wi˦˥.tʰiː˧,1
กรรมสัมปาทิก,kam˧.ma˦˥.sam˩˩˦.paː˧.tʰik̚˦˥,3
กรรมสัมปาทิก,kam˧.ma˦˥.sam˩˩˦.paː˧.tʰik̚˦˥.ka˨˩.,3
กรรมสัมปาทิก,kam˧.ma˦˥.sam˩˩˦.paː˧.tʰi˦˥.ka˨˩.,3
กรรมสาร,kam˧.ma˦˥.saːn˩˩˦,1
กรรมสิทธิ์,kam˧.ma˦˥.sit̚˨˩,1
กรรมาชีพ,kam˧.maː˧.t͡ɕʰiːp̚˥˩,2
กรรมาชีพ,kan˧.maː˧.t͡ɕʰiːp̚˥˩,2
กรรมาธิการ,kam˧.maː˧.tʰi˦˥.kaːn˧,2
กรรมาธิการ,kan˧.maː˧.tʰi˦˥.kaːn˧,2
กรรเชียง,kan˧.t͡ɕʰia̯ŋ˧,1
กรรโชก,kan˧.t͡ɕʰoːk̚˥˩,1
กรรไกร,kan˧.kraj˧,1
กรรไกรตัดเล็บ,kan˧.kraj˧.tat̚˨˩.lep̚˦˥,1
กรรไกรเล็ก,kan˧.kraj˧.lek̚˦˥,1
กรวด,krua̯t̚˨˩,1
กรวย,krua̯j˧,1
กรอ,krɔː˧,1
กรอก,krɔːk̚˨˩,1
กรอง,krɔːŋ˧,1
กรอบ,krɔːp̚˨˩,1
กระ,kraʔ˨˩,1
กระจก,kra˨˩.t͡ɕok̚˨˩,1
กระจกตา,kra˨˩.t͡ɕok̚˨˩.taː˧,1
กระจกนาฬิกา,kra˨˩.t͡ɕok̚˨˩.naː˧.li˦˥.kaː˧,1
กระจกเงา,kra˨˩.t͡ɕok̚˨˩.ŋaw˧,1
กระจง,kra˨˩.t͡ɕoŋ˧,1
กระจอก,kra˨˩.t͡ɕɔːk̚˨˩,1
กระจอกเทศ,kra˨˩.t͡ɕɔːk̚˨˩.tʰeːt̚˥˩,1
กระจับ,kra˨˩.t͡ɕap̚˨˩,1
กระจับปี่,kra˨˩.t͡ɕap̚˨˩.piː˨˩,1
กระจาด,kra˨˩.t͡ɕaːt̚˨˩,1
กระจาย,kra˨˩.t͡ɕaːj˧,1
กระจุก,kra˨˩.t͡ɕuk̚˨˩,1
กระจุกกระจิก,kra˨˩.t͡ɕuk̚˨˩.kra˨˩.t͡ɕik̚˨˩,1
กระจุกดาวลูกไก่,kra˨˩.t͡ɕuk̚˨˩.daːw˧.luːk̚˥˩.kaj˨˩,1
กระจ่าง,kra˨˩.t͡ɕaːŋ˨˩,1
กระฉอก,kra˨˩.t͡ɕʰɔːk̚˨˩,1
กระฉูด,kra˨˩.t͡ɕʰuːt̚˨˩,1
กระชอน,kra˨˩.t͡ɕʰɔːn˧,1
กระชับ,kra˨˩.t͡ɕʰap̚˦˥,1
กระชาก,kra˨˩.t͡ɕʰaːk̚˥˩,1
กระชาย,kra˨˩.t͡ɕʰaːj˧,1
กระซิบ,kra˨˩.sip̚˦˥,1
กระซู่,kra˨˩.suː˥˩,1
กระฎุมพี,kra˨˩.dum˧.pʰiː˧,1
กระดอ,kra˨˩.dɔː˧,1
กระดอง,kra˨˩.dɔːŋ˧,1
กระดอม,kra˨˩.dɔːm˧,1
กระดังงา,kra˨˩.daŋ˧.ŋaː˧,1
กระดาด,kra˨˩.daːt̚˨˩,1
กระดาน,kra˨˩.daːn˧,1
กระดานขาว,kra˨˩.daːn˧.kʰaːw˩˩˦,1
กระดานข่าว,kra˨˩.daːn˧.kʰaːw˨˩,1
กระดานชนวน,kra˨˩.daːn˧.t͡ɕʰa˦˥.nua̯n˧,2
กระดานชนวน,kra˧.daːn˧.t͡ɕʰa˦˥.nua̯n˧,2
กระดานดำ,kra˨˩.daːn˧.dam˧,1
กระดานถีบ,kra˨˩.daːn˧.tʰiːp̚˨˩,1
กระดานลื่น,kra˨˩.daːn˧.lɯːn˥˩,1
กระดานหก,kra˨˩.daːn˧.hok̚˨˩,2
กระดานหก,kra˧.daːn˧.hok̚˨˩,2
กระดานหมากรุก,kra˨˩.daːn˧.maːk̚˨˩.ruk̚˦˥,2
กระดานหมากรุก,kra˧.daːn˧.maːk̚˨˩.ruk̚˦˥,2
กระดานโต้คลื่น,kra˨˩.daːn˧.toː˥˩.kʰlɯːn˥˩,1
กระดานไฟ,kra˨˩.daːn˧.faj˧,1
กระดาษ,kra˨˩.daːt̚˨˩,2
กระดาษ,kra˧.daːt̚˨˩,2
กระดาษชำระ,kra˨˩.daːt̚˨˩.t͡ɕʰam˧.raʔ˦˥,1
กระดาษทราย,kra˨˩.daːt̚˨˩.saːj˧,1
กระดาษทิชชู,kra˨˩.daːt̚˨˩.tʰit̚˦˥.t͡ɕʰuː˥˩,1
กระดาษเงินกระดาษทอง,kra˨˩.daːt̚˨˩.ŋɤːn˧.kra˨˩.daːt̚˨˩.tʰɔːŋ˧,1
กระดาษเช็ดปาก,kra˨˩.daːt̚˨˩.t͡ɕʰet̚˦˥.paːk̚˨˩,2
กระดาษเช็ดปาก,kra˧.daːt̚˨˩.t͡ɕʰet̚˦˥.paːk̚˨˩,2
กระดาษแก้ว,kra˨˩.daːt̚˨˩.kɛːw˥˩,1
กระดาษแข็ง,kra˨˩.daːt̚˨˩.kʰɛŋ˩˩˦,1
กระดิก,kra˨˩.dik̚˨˩,1
กระดิ่ง,kra˨˩.diŋ˨˩,1
กระดี่ได้น้ำ,kra˨˩.diː˨˩.daj˥˩.naːm˦˥,1
กระดึ๊บ,kra˨˩.dɯp̚˦˥,1
กระดุม,kra˨˩.dum˧,1
กระดูก,kra˨˩.duːk̚˨˩,1
กระดูกค้อน,kra˨˩.duːk̚˨˩.kʰɔːn˦˥,1
กระดูกงู,kra˨˩.duːk̚˨˩.ŋuː˧,1
กระดูกซี่โครง,kra˨˩.duːk̚˨˩.siː˥˩.kʰroːŋ˧,1
กระดูกต้นขา,kra˨˩.duːk̚˨˩.ton˥˩.kʰaː˩˩˦,1
กระดูกต้นแขน,kra˨˩.duːk̚˨˩.ton˥˩.kʰɛːn˩˩˦,1
กระดูกทั่ง,kra˨˩.duːk̚˨˩.tʰaŋ˥˩,1
กระดูกน่อง,kra˨˩.duːk̚˨˩.nɔŋ˥˩,1
กระดูกสะบัก,kra˨˩.duːk̚˨˩.sa˨˩.bak̚˨˩,1
กระดูกสันหลัง,kra˨˩.duːk̚˨˩.san˩˩˦.laŋ˩˩˦,1
กระดูกสันอก,kra˨˩.duːk̚˨˩.san˩˩˦.ʔok̚˨˩,1
กระดูกหัก,kra˨˩.duːk̚˨˩.hak̚˨˩,1
กระดูกอ่อน,kra˨˩.duːk̚˨˩.ʔɔːn˨˩,1
กระดูกเชิงกราน,kra˨˩.duːk̚˨˩.t͡ɕʰɤːŋ˧.kraːn˧,1
กระดูกแข้ง,kra˨˩.duːk̚˨˩.kʰɛŋ˥˩,1
กระดูกโกลน,kra˨˩.duːk̚˨˩.kloːn˧,1
กระดูกโหนกแก้ม,kra˨˩.duːk̚˨˩.noːk̚˨˩.kɛːm˥˩,1
กระดูกโอบอก,kra˨˩.duːk̚˨˩.ʔoːp̚˨˩.ʔok̚˨˩,1
กระดูกไหปลาร้า,kra˨˩.duːk̚˨˩.haj˩˩˦.plaː˧.raː˦˥,1
กระด้ง,kra˨˩.doŋ˥˩,1
กระด้าง,kra˨˩.daːŋ˥˩,1
กระด้างกระเดื่อง,kra˨˩.daːŋ˥˩.kra˨˩.dɯa̯ŋ˨˩,1
กระติก,kra˨˩.tik̚˨˩,1
กระติกน้ำร้อน,kra˨˩.tik̚˨˩.naːm˦˥.rɔːn˦˥,1
กระติบ,kra˨˩.tip̚˨˩,1
กระตือรือร้น,kra˨˩.tɯː˧.rɯː˧.ron˦˥,1
กระตือรือล้น,kra˨˩.tɯː˧.rɯː˧.lon˦˥,1
กระตุก,kra˨˩.tuk̚˨˩,1
กระตุกหนวดเสือ,kra˨˩.tuk̚˨˩.nua̯t̚˨˩.sɯa̯˩˩˦,1
กระตุ้น,kra˨˩.tun˥˩,1
กระต่าย,kra˨˩.taːj˨˩,1
กระต่ายตื่นตูม,kra˨˩.taːj˨˩.tɯːn˨˩.tuːm˧,1
กระต่ายป่า,kra˨˩.taːj˨˩.paː˨˩,1
กระต่ายหมายจันทร์,kra˨˩.taːj˨˩.maːj˩˩˦.t͡ɕan˧,1
กระต๊อบ,kra˨˩.tɔp̚˦˥,1
กระถาง,kra˨˩.tʰaːŋ˩˩˦,1
กระถางดอกไม้,kra˨˩.tʰaːŋ˩˩˦.dɔːk̚˨˩.maːj˦˥,1
กระถางต้นไม้,kra˨˩.tʰaːŋ˩˩˦.ton˥˩.maːj˦˥,1
กระถิน,kra˨˩.tʰin˩˩˦,1
กระทง,kra˨˩.tʰoŋ˧,1
กระทบ,kra˨˩.tʰop̚˦˥,1
กระทรวง,kra˨˩.sua̯ŋ˧,1
กระทรวงศึกษาธิการ,kra˨˩.sua̯ŋ˧.sɯk̚˨˩.saː˩˩˦.tʰi˦˥.kaːn˧,1
กระทะ,kra˨˩.tʰaʔ˦˥,1
กระทะทองแดง,kra˨˩.tʰa˦˥.tʰɔːŋ˧.dɛːŋ˧,1
กระทะใบบัว,kra˨˩.tʰa˦˥.baj˧.bua̯˧,1
กระทัดรัด,kra˨˩.tʰat̚˦˥.rat̚˦˥,1
กระทันหัน,kra˨˩.tʰan˧.han˩˩˦,1
กระทา,kra˨˩.tʰaː˧,1
กระทำ,kra˨˩.tʰam˧,1
กระทำชำเรา,kra˨˩.tʰam˧.t͡ɕʰam˧.raw˧,1
กระทิง,kra˨˩.tʰiŋ˧,1
กระทืบ,kra˨˩.tʰɯːp̚˥˩,1
กระทุง,kra˨˩.tʰuŋ˧,1
กระทู้,kra˨˩.tʰuː˦˥,1
กระทู้ถาม,kra˨˩.tʰuː˦˥.tʰaːm˩˩˦,1
กระท่อม,kra˨˩.tʰɔm˥˩,1
กระท้อน,kra˨˩.tʰɔːn˦˥,1
กระนั้น,kra˨˩.nan˦˥,1
กระบถ,kra˨˩.bot̚˨˩,1
กระบวน,kra˨˩.bua̯n˧,1
กระบวนการ,kra˨˩.bua̯n˧.kaːn˧,1
กระบวนพิจารณา,kra˨˩.bua̯n˧.pʰi˦˥.t͡ɕaː˧.ra˦˥.naː˧,1
กระบวย,kra˨˩.bua̯j˧,1
กระบอก,kra˨˩.bɔːk̚˨˩,1
กระบอกฉีดยา,kra˨˩.bɔːk̚˨˩.t͡ɕʰiːt̚˨˩.jaː˧,1
กระบอกเสียง,kra˨˩.bɔːk̚˨˩.sia̯ŋ˩˩˦,1
กระบอง,kra˨˩.bɔːŋ˧,1
กระบองเพชร,kra˨˩.bɔːŋ˧.pʰet̚˦˥,1
กระบะ,kra˨˩.baʔ˨˩,1
กระบะทราย,kra˨˩.ba˨˩.saːj˧,1
กระบี่,kra˨˩.biː˨˩,1
กระบี่กระบอง,kra˨˩.biː˨˩.kra˨˩.bɔːŋ˧,1
กระบือ,kra˨˩.bɯː˧,1
กระบุง,kra˨˩.buŋ˧,1
กระปรี้กระเปร่า,kra˨˩.priː˥˩.kra˨˩.praw˨˩,1
กระปี๋,kra˨˩.piː˩˩˦,1
กระปุก,kra˨˩.puk̚˨˩,1
กระปุกหมู,kra˨˩.puk̚˨˩.muː˩˩˦,1
กระปุกออมสิน,kra˨˩.puk̚˨˩.ʔɔːm˧.sin˩˩˦,1
กระป๋อง,kra˨˩.pɔŋ˩˩˦,1
กระผม,kra˨˩.pʰom˩˩˦,1
กระพรวน,kra˨˩.pʰrua̯n˧,1
กระพริบ,kra˨˩.pʰrip̚˦˥,1
กระพัง,kra˨˩.pʰaŋ˧,1
กระพัน,kra˨˩.pʰan˧,1
กระพือ,kra˨˩.pʰɯː˧,1
กระมัง,kra˨˩.maŋ˧,1
กระยาง,kra˨˩.jaːŋ˧,1
กระยาหาร,kra˨˩.jaː˧.haːn˩˩˦,1
กระรอก,kra˨˩.rɔːk̚˥˩,1
กระรอกบิน,kra˨˩.rɔːk̚˥˩.bin˧,1
กระลาการ,kra˨˩.laː˧.kaːn˧,1
กระลาโหม,kra˨˩.laː˧.hoːm˩˩˦,1
กระวนกระวาย,kra˨˩.won˧.kra˨˩.waːj˧,1
กระษัตร,kra˨˩.sat̚˨˩,2
กระษัตร,kra˨˩.sat̚˨˩.tra˨˩.,2
กระษัตริย์,kra˨˩.sat̚˨˩,1
กระษัตรี,kra˨˩.sat̚˨˩.triː˧,1
กระสวน,kra˨˩.sua̯n˩˩˦,1
กระสวย,kra˨˩.sua̯j˩˩˦,1
กระสวยอวกาศ,kra˨˩.sua̯j˩˩˦.ʔa˨˩.wa˦˥.kaːt̚˨˩,1
กระสอบ,kra˨˩.sɔːp̚˨˩,1
กระสะ,kra˨˩.saʔ˨˩,1
กระสา,kra˨˩.saː˩˩˦,1
กระสาบ,kra˨˩.saːp̚˨˩,1
กระสาย,kra˨˩.saːj˩˩˦,1
กระสือ,kra˨˩.sɯː˩˩˦,1
กระสุน,kra˨˩.sun˩˩˦,1
กระสุนปืน,kra˨˩.sun˩˩˦.pɯːn˧,1
กระหนก,kra˨˩.nok̚˨˩,1
กระหม่อม,kra˨˩.mɔm˨˩,1
กระหรี่,kra˨˩.riː˨˩,1
กระหล่ำ,kra˨˩.lam˨˩,1
กระหวัด,kra˨˩.wat̚˨˩,1
กระหาย,kra˨˩.haːj˩˩˦,1
กระหึ่ม,kra˨˩.hɯm˨˩,1
กระอัก,kra˨˩.ʔak̚˨˩,1
กระเจี๊ยบ,kra˨˩.t͡ɕia̯p̚˦˥,1
กระเจี๊ยบมอญ,kra˨˩.t͡ɕia̯p̚˦˥.mɔːn˧,1
กระเจี๊ยว,kra˨˩.t͡ɕia̯w˦˥,1
กระเชอ,kra˨˩.t͡ɕʰɤː˧,1
กระเชอก้นรั่ว,kra˨˩.t͡ɕʰɤː˧.kon˥˩.rua̯˥˩,1
กระเชา,kra˨˩.t͡ɕʰaw˧,1
กระเช้า,kra˨˩.t͡ɕʰaw˦˥,1
กระเซิง,kra˨˩.sɤːŋ˧,1
กระเซ็น,kra˨˩.sen˧,1
กระเดือก,kra˨˩.dɯa̯k̚˨˩,1
กระเด็น,kra˨˩.den˧,1
กระเต็น,kra˨˩.ten˧,1
กระเถิบ,kra˨˩.tʰɤːp̚˨˩,1
กระเทย,kra˨˩.tʰɤːj˧,1
กระเทียม,kra˨˩.tʰia̯m˧,1
กระเบน,kra˨˩.beːn˧,1
กระเบื้อง,kra˨˩.bɯa̯ŋ˥˩,1
กระเป๋า,kra˨˩.paw˩˩˦,1
กระเป๋าตังค์,kra˨˩.paw˩˩˦.taŋ˧,1
กระเป๋าถือ,kra˨˩.paw˩˩˦.tʰɯː˩˩˦,1
กระเป๋าธนบัตร,kra˨˩.paw˩˩˦.tʰa˦˥.na˦˥.bat̚˨˩,1
กระเป๋าสตางค์,kra˨˩.paw˩˩˦.sa˨˩.taːŋ˧,1
กระเป๋าหิ้ว,kra˨˩.paw˩˩˦.hiw˥˩,1
กระเป๋าเงิน,kra˨˩.paw˩˩˦.ŋɤn˧,1
กระเป๋าเดินทาง,kra˨˩.paw˩˩˦.dɤːn˧.tʰaːŋ˧,1
กระเป๋าเป้,kra˨˩.paw˩˩˦.peː˥˩,1
กระเพรา,kra˨˩.pʰraw˧,1
กระเพา,kra˨˩.pʰaw˧,1
กระเพาะ,kra˨˩.pʰɔʔ˦˥,1
กระเพาะปัสสาวะ,kra˨˩.pʰɔʔ˦˥.pat̚˨˩.saː˩˩˦.waʔ˦˥,1
กระเพาะพัก,kra˨˩.pʰɔʔ˦˥.pʰak̚˦˥,1
กระเพาะอาหาร,kra˨˩.pʰɔʔ˦˥.ʔaː˧.haːn˩˩˦,1
กระเพื่อม,kra˨˩.pʰɯa̯m˥˩,1
กระเรียน,kra˨˩.ria̯n˧,1
กระเหรี่ยง,kra˨˩.ria̯ŋ˨˩,1
กระแซะ,kra˨˩.sɛʔ˦˥,1
กระแดะ,kra˨˩.dɛʔ˨˩,1
กระแต,kra˨˩.tɛː˧,1
กระแทก,kra˨˩.tʰɛːk̚˥˩,1
กระแส,kra˨˩.sɛː˩˩˦,1
กระแสไฟฟ้า,kra˨˩.sɛː˩˩˦.faj˧.faː˦˥,1
กระโจม,kra˨˩.t͡ɕoːm˧,1
กระโจมไฟ,kra˨˩.t͡ɕoːm˧.faj˧,1
กระโชก,kra˨˩.t͡ɕʰoːk̚˥˩,1
กระโดง,kra˨˩.doːŋ˧,1
กระโดด,kra˨˩.doːt̚˨˩,1
กระโดดร่ม,kra˨˩.doːt̚˨˩.rom˥˩,1
กระโถน,kra˨˩.tʰoːn˩˩˦,1
กระโทง,kra˨˩.tʰoːŋ˧,1
กระโปรง,kra˨˩.proːŋ˧,1
กระได,kra˨˩.daj˧,1
กรัง,kraŋ˧,1
กรัม,kram˧,1
กราด,kraːt̚˨˩,1
กราดภาพ,kraːt̚˨˩.pʰaːp̚˥˩,1
กราบ,kraːp̚˨˩,1
กราฟ,kraːf˦˥,2
กราฟ,kraːp̚˦˥,2
กราม,kraːm˧,1
กรำ,kram˧,1
กริช,krit̚˨˩,1
กรินทร์,ka˨˩.rin˧,1
กริยา,kri˨˩.jaː˧,2
กริยา,ka˨˩.ri˦˥.jaː˧,2
กริยาช่วย,kri˨˩.jaː˧.t͡ɕʰua̯j˥˩,2
กริยาช่วย,ka˨˩.ri˦˥.jaː˧.t͡ɕʰua̯j˥˩,2
กริยานุเคราะห์,kri˨˩.jaː˧.nu˦˥.kʰrɔʔ˦˥,2
กริยานุเคราะห์,ka˨˩.ri˦˥.jaː˧.nu˦˥.kʰrɔʔ˦˥,2
กริยาวิเศษณานุประโยค,kri˨˩.jaː˧.wi˦˥.seː˩˩˦.sa˨˩.naː˧.nu˦˥.pra˨˩.joːk̚˨˩,2
กริยาวิเศษณานุประโยค,ka˨˩.ri˦˥.jaː˧.wi˦˥.seː˩˩˦.sa˨˩.naː˧.nu˦˥.pra˨˩.joːk̚˨˩,2
กริยาวิเศษณ์,kri˨˩.jaː˧.wi˦˥.seːt̚˨˩,2
กริยาวิเศษณ์,ka˨˩.ri˦˥.jaː˧.wi˦˥.seːt̚˨˩,2
กริ่ง,kriŋ˨˩,1
กริ่งเกรง,kriŋ˨˩.kreːŋ˧,1
กริ้ว,kriw˥˩,1
กรี,ka˨˩.riː˧,2
กรี,kriː˧,2
กรีก,kriːk̚˨˩,1
กรีซ,kriːs˨˩,2
กรีซ,kriːs˦˥,2
กรีซโบราณ,kriːs˨˩.boː˧.raːn˧,2
กรีซโบราณ,kriːt̚˨˩.boː˧.raːn˧,2
กรีฑา,kriː˧.tʰaː˧,1
กรีด,kriːt̚˨˩,1
กรีดร้อง,kriːt̚˨˩.rɔːŋ˦˥,1
กรีนแลนด์,kriːn˧.lɛːn˧,1
กรือโป๊ะ,krɯː˧.poʔ˦˥,1
กรุง,kruŋ˧,1
กรุงเขมา,kruŋ˧.kʰa˨˩.maw˩˩˦,1
กรุงเทพ,kruŋ˧.tʰeːp̚˥˩,1
กรุงเทพมหานคร,kruŋ˧.tʰeːp̚˥˩.ma˦˥.haː˩˩˦.na˦˥.kʰɔːn˧,1
กรุงเทพฯ,kruŋ˧.tʰeːp̚˥˩,1
กรุณา,ka˨˩.ru˦˥.naː˧,1
กรุ่น,krun˨˩,1
กรู,kruː˧,1
กรูม,kruːm˧,1
กร็องแต็สต์,krɔŋ˧.tɛs˦˥,1
กร่อน,krɔn˨˩,1
กร่อย,krɔj˨˩,1
กร่าง,kraːŋ˨˩,1
กฤดีกา,kri˨˩.diː˧.kaː˧,1
